--------- beginning of events
12-15 10:38:22.610   251   251 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
--------- beginning of system
12-15 10:38:28.884   254   254 I vold    : Vold 3.0 (the awakening) firing up
12-15 10:38:28.885   254   254 V vold    : Detected support for: exfat ext4 ntfs vfat
12-15 10:38:28.890   254   254 W Vold    : Tearing down stale mount /storage/usbotg
12-15 10:38:28.890   254   254 W Vold    : Tearing down stale mount /mnt/media_rw
12-15 10:38:29.201   254   264 V vold    : /system/bin/sgdisk
12-15 10:38:29.201   254   264 V vold    :     --android-dump
12-15 10:38:29.201   254   264 V vold    :     /dev/block/vold/disk:179_128
12-15 10:38:29.205   254   266 D vold    : e4crypt_init_user0
12-15 10:38:29.206   254   266 D vold    : e4crypt_prepare_user_storage for volume null, user 0, serial 0, flags 1
12-15 10:38:29.206   254   266 D vold    : Preparing: /data/system/users/0
12-15 10:38:29.208   254   266 D vold    : Preparing: /data/misc/profiles/cur/0
12-15 10:38:29.209   254   266 D vold    : Preparing: /data/misc/profiles/cur/0/foreign-dex
12-15 10:38:29.210   254   266 D vold    : Preparing: /data/system_de/0
12-15 10:38:29.210   254   266 D vold    : Preparing: /data/misc_de/0
12-15 10:38:29.211   254   266 D vold    : Preparing: /data/user_de/0
12-15 10:38:29.213   254   266 D vold    : e4crypt_unlock_user_key 0 serial=0 token_present=0
12-15 10:38:29.526   254   264 V vold    : DISK gpt CBC83FD9-4235-4453-8D69-6B98D2518C8B
12-15 10:38:29.526   254   264 V vold    : 
12-15 10:38:29.527   254   264 V vold    : PART 1 EBD0A0A2-B9E5-4433-87C0-68B6B72699C7 6364D990-56C9-45B7-991C-554740580B3D Microsoft basic data
12-15 10:38:29.527   254   264 V vold    : 
12-15 10:38:30.160   256   256 I auditd  : type=1400 audit(0.0:3): avc: denied { read write } for comm="logd.daemon" name="mmcblk0p6" dev="tmpfs" ino=325 scontext=u:r:logd:s0 tcontext=u:object_r:block_device:s0 tclass=blk_file permissive=1
12-15 10:38:30.160   256   256 I auditd  : type=1400 audit(0.0:4): avc: denied { open } for comm="logd.daemon" path="/dev/block/mmcblk0p6" dev="tmpfs" ino=325 scontext=u:r:logd:s0 tcontext=u:object_r:block_device:s0 tclass=blk_file permissive=1
12-15 10:38:31.000   281   281 I auditd  : type=1400 audit(0.0:5): avc: denied { write } for comm="surfaceflinger" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:31.000   281   281 I auditd  : type=1400 audit(0.0:6): avc: denied { open } for comm="surfaceflinger" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.220   295   295 I auditd  : type=1400 audit(0.0:7): avc: denied { write } for comm="cameraserver" name="trace_marker" dev="debugfs" ino=1051 scontext=u:r:cameraserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.220   295   295 I auditd  : type=1400 audit(0.0:8): avc: denied { open } for comm="cameraserver" path="/sys/kernel/debug/tracing/trace_marker" dev="debugfs" ino=1051 scontext=u:r:cameraserver:s0 tcontext=u:object_r:debugfs:s0 tclass=file permissive=1
12-15 10:38:32.280   403   403 I auditd  : type=1400 audit(0.0:9): avc: denied { read } for comm="nvram_daemon" name="boot_mode" dev="sysfs" ino=117 scontext=u:r:nvram_daemon:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=1
12-15 10:38:32.280   403   403 I auditd  : type=1400 audit(0.0:10): avc: denied { open } for comm="nvram_daemon" path="/sys/devices/virtual/BOOT/BOOT/boot/boot_mode" dev="sysfs" ino=117 scontext=u:r:nvram_daemon:s0 tcontext=u:object_r:sysfs:s0 tclass=file permissive=1
12-15 10:38:32.625   294   294 I liblog  : 196
12-15 10:38:32.716   294   415 I liblog  : 115
12-15 10:38:33.070   293   293 I boot_progress_start: 12853
12-15 10:38:38.811   532   572 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.USE_CREDENTIALS in package: com.android.settings at: Binary XML file line #53
12-15 10:38:38.811   532   572 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.READ_SYNC_SETTINGS in package: com.android.settings at: Binary XML file line #58
12-15 10:38:38.811   532   572 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WRITE_SYNC_SETTINGS in package: com.android.settings at: Binary XML file line #59
12-15 10:38:38.944   532   574 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.CONFIGURE_WIFI_DISPLAY in package: com.android.systemui at: Binary XML file line #117
12-15 10:38:39.159   532   573 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: com.google.android.providers.gsf.permission.READ_GSERVICES in package: com.google.android.partnersetup at: Binary XML file line #32
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.mail from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.cl from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.android from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.sierra from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.sierraqa from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.sierrasandbox from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.youtube from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.talk from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.ig from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.lh2 from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.mobile from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.cp from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.adsense from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.adwords from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.blogger from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.dodgeball from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.gbase from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.209   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.groups2 from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.210   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.health from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.210   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.jotspot from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.knol from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.news from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.orkut from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.print from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.wifi from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.finance from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.local from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.ah from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.notebook from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.writely from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.wise from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.grandcentral from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.speechpersonalization from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.211   532   572 W PackageManager: Permission com.google.android.googleapps.permission.GOOGLE_AUTH.speech from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.215   532   572 W PackageManager: Permission com.google.android.providers.talk.permission.READ_ONLY from package com.google.android.gsf in an unknown group android.permission-group.MESSAGES
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.providers.talk.permission.WRITE_ONLY from package com.google.android.gsf in an unknown group android.permission-group.MESSAGES
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.gtalkservice.permission.GTALK_SERVICE from package com.google.android.gsf in an unknown group android.permission-group.MESSAGES
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.gtalkservice.permission.SEND_HEARTBEAT from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.permission.BROADCAST_DATA_MESSAGE from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.c2dm.permission.SEND from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.c2dm.permission.RECEIVE from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.xmpp.permission.BROADCAST from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.xmpp.permission.SEND_RECEIVE from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.xmpp.permission.XMPP_ENDPOINT_BROADCAST from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.xmpp.permission.USE_XMPP_ENDPOINT from package com.google.android.gsf in an unknown group android.permission-group.NETWORK
12-15 10:38:39.216   532   572 W PackageManager: Permission com.google.android.providers.gsf.permission.READ_GSERVICES from package com.google.android.gsf in an unknown group android.permission-group.ACCOUNTS
12-15 10:38:39.246   532   575 W PackageManager: Permission com.google.android.gms.permission.ACTIVITY_RECOGNITION from package com.google.android.gms in an unknown group android.permission-group.PERSONAL_INFO
12-15 10:38:39.269   532   572 W PackageManager: Permission com.google.android.apps.nexuslauncher.permission.READ_SETTINGS from package com.google.android.apps.nexuslauncher in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:39.269   532   572 W PackageManager: Permission com.google.android.apps.nexuslauncher.permission.WRITE_SETTINGS from package com.google.android.apps.nexuslauncher in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:39.269   532   572 W PackageManager: Permission com.google.android.apps.nexuslauncher.permission.QSB from package com.google.android.apps.nexuslauncher in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:39.269   532   572 W PackageManager: Permission com.android.launcher.permission.INSTALL_SHORTCUT from package com.google.android.apps.nexuslauncher in an unknown group android.permission-group.SYSTEM_TOOLS
12-15 10:38:39.324   532   573 W PackageParser: No actions in intent filter at /system/priv-app/GoogleContacts/GoogleContacts.apk Binary XML file line #244
12-15 10:38:39.413   532   578 W PackageParser: No actions in intent filter at /system/app/Bluetooth/Bluetooth.apk Binary XML file line #227
12-15 10:38:39.423   532   575 W PackageParser: No actions in intent filter at /system/app/CMFileManager/CMFileManager.apk Binary XML file line #174
12-15 10:38:39.446   532   573 W PackageManager: Non-privileged app; cap priority to 0; package: com.android.cts.ctsshim activity: com.android.cts.ctsshim.InstallPriority origPrio: 100
12-15 10:38:39.446   532   573 W PackageManager: Non-privileged app; cap priority to 0; package: com.android.cts.ctsshim activity: com.android.cts.ctsshim.InstallPriority origPrio: 100
12-15 10:38:39.446   532   573 W PackageManager: Non-privileged app; cap priority to 0; package: com.android.cts.ctsshim activity: com.android.cts.ctsshim.InstallPriority origPrio: 100
12-15 10:38:39.446   532   573 W PackageManager: Non-privileged app; cap priority to 0; package: com.android.cts.ctsshim activity: com.android.cts.ctsshim.InstallPriority origPrio: 100
12-15 10:38:39.446   532   573 W PackageManager: Non-privileged app; cap priority to 0; package: com.android.cts.ctsshim activity: com.android.cts.ctsshim.InstallPriority origPrio: 100
12-15 10:38:39.551   532   572 W PackageParser: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WAKE_LOCK in package: com.google.android.apps.maps at: Binary XML file line #123
